Šifra,Oznaka,Naziv dijagnoze,Latinski naziv dijagnoze
29,A044,"Druga infekcija creva,uzročnik Escherichia coli",Infectio intestinalis per Escherichiam coli alia
30,A045,"Zapaljenje creva, uzročnik Campylobacter",Enteritis campylobacterialis
31,A046,"Zapaljenje tankog creva,uzročnik Yersinia enterocolitica",Enteritis yersiniosa enterocolitica
32,A047,"Zapaljenje creva, uzročnik Clostridium difficile",Enterocolitis per Clostridium difficile
33,A048,Druga označena infekcija creva uzrokovana bakterijama,"Infectio intestinalis bacterialis alia,specificata"
34,A049,"Infekcija creva, uzrokovana bakterijama ,neoznačena","Infectio intestinalis bacterialis, non specificata"
35,A05,Druga trovanja hranom uzrokovana bakterijama,Intoxicationes alimentariae bacteriales aliae
36,A050,Trovanje hranom uzrokovano stafilokokom,Intoxicatio allmentaria staphylococcica
37,A051,Trovanje konzervisanom hranom od mesa,Botulismus
38,A052,"Trovanje hranom,uzročnik Clostridium perfringens (Clostridium welchii)",Intoxicato ailmentaria per Clostridium perfringentem (Clostridium welchii)
39,A053,"Trovanje hranom,uzročnik Vibrio parahaemolytica",Intoxicatio alimentaria per Vibrionem parahaemolyticam
40,A054,"Trovanje hranom, uzročnik Bacillus cereus",Intoxicatio alimentaria per Bacillum cereum
41,A058,Druga označena trovanja hranom uzrokovana bakterijama,"Intoxicationes alimentariae bacteriales aliae ,specificatae"
42,A059,"Trovanje hranom uzrokovano bakterijama ,neoznačeno","Intoxicatio alimentaria bacterialis,non specificata"
43,A06,"Amebijaza,uzročnik patogena ameba",Amoebiasis
44,A060,Akutna dizenterija uzrokovana amebama,Dysenteria amoebica acuta
45,A061,Hronična amebijaza creva,Amoebiasis intestinalis chronica
46,A062,Nedizenteričko zapaljenje debelog creva uzrokovano amebama,Colitis amoebica non dysenterica
47,A063,"Amebom,tumor creva uzrokovan amebama",Amoeboma intestinale
48,A064,Zagnoj jetre uzrokovan amebama,Abscessus hepatis amoebicus
49,A065,Zagnoj pluća uzrokovan amebama,Abscessus pulmonis amoebicus (J99.8*)
50,A066,Zagnoj mozga uzrokovan amebama,Abscessus cerebri amoebicus (G07*)
51,A067,Amebijaza kože,Amoebiasis cutanea
52,A068,Infekcija druge lokalizacije uzrokovana amebama,Infectio amoebica loci alterius
53,A069,"Amebijaza, neoznačena","Amoebiasis, non specificata"
54,A07,Druge infecije creva uzrokovane protozoama,Infectiones intestinales protozoicae aliae
55,A070,"Balantidijaza, uzročnik Balantidium coli",Balantidiasis
56,A071,"Gjardijaza, uzročnik Lamblia intestinalis",Giardiasis (lambliasis)
57,A072,"Kriptosporidijaza, uzročnik Cryptosporidium",Cryptosporidiasis
58,A073,"Izosporijaza ,uzročnik Isospora belli et Isospora hominis",Isosporiasis
59,A078,Druge označene infekcije creva uzrokovane protozoama,"Infectiones intestinales protozoicae aliae,specificatae"
60,A079,"Infekcije creva uzrokovane protozoama,neoznačene","Infectio intestinalis protozoica,non specificata"
61,A08,Infekcije creva uzrokovane virusima,Infectiones intestinales virales
62,A080,Zapaljenje tankog creva uzrokovano rotavirusima,Enteritis rotaviralis
63,A081,Akutno Norwalkovo zapaljenje želuca i tankog creva,Gastroenteritis acuta Norwalk
64,A082,Zapaljenje tankog creva uzrokovano adenovirusima,Enteritis adenoviralis
65,A083,Druga zapaljenja tankog creva uzrokovana virusima,Enteritis viralis alia
66,A084,"Infekcija creva uzrokovana virusima,neoznačena","Infectio intestinalis viralis, non specificata"
67,A085,Druge označene infekcije creva,"Infectiones intestinales aliae,specificatae"
68,A09,"Proliv i želudačno -crevno zapaljenje,verovatno zaraznog porekla","Diarrhoea et gastroenteritis, causa infectionis suspecta"
69,A15,Tuberkuloza organa za disanje potvrđena bakteriološki i histološki,"Tuberculosis organorum respiratoriorum,per bacteriologiam et histologiam confirm"
70,A150,"Tuberkuloza pluća,potvrđena mikroskopijom ispljuvka","Tuberculosis pulmonis, per microscopiam sputi confirmata"
71,A151,"Tuberkuloza pluća, potvrđena samo kulturom","Tuberculosis pulmonis, solum culture confirmata"
72,A152,"Tuberkuloza pluća, potvrđena histološki","Tuberculosis pulmonis, per histologiam confirmata"
73,A153,"Tuberkuloza pluća, potvrđena neoznačenim metodama","Tuberculosis pulmonis, methodis non specificatis confirmata"
74,A154,"Tuberkuloza limfnih čvorova u grudnom košu,potvrđena bakteriološki i histološki","Tuberculosis lymphonodorum intrathoracalium,per bacteriologiam et histologiam co"
75,A155,"Tuberkuloza grkljana,dušnika i dušnice,potvrđena bakteriološki i histološki","Tuberculosis laryngis, tracheae et bronchi,per bacteriologiam et histologiam con"
76,A156,"Tuberkulozno zapaljenje porebrice,potvrđeno bakteriološki i histološki.","Pleuritis tuberculosa,per bacteriologiam et histologiam confirmata"
77,A157,"Primarna tuberkuloza pluća,potvrđena bakteriološki i histološki","Tuberculosis pulmonis primaria, per bacteriologiam et histologiam confirmata"
78,A158,"Druga tuberkuloza pluća,potvrđena bakteriološki i histološki","Tuberculosis pulmonis,per bacteriologiam et histologiam confirmata alia"
79,A159,"Tuberkuloza organa za disanje,potvrđena bakteriološki i histološki ,neoznačena","Tuberculosis organorum respiratoriorum,per bacteriologiam et histologiam confirm"
80,A16,"Tuberkuloza organa za disanje,nepotvrđena bakteriološki i histološki","Tuberculosis organorum respiratoriorum,per bacteriologiam et histologiam non con"
81,A160,"Tuberkuloza pluća, bakteriološki i histološki negativna","Tuberculosis pulmonis, bacteriologice et histologice negativa"
82,A161,"Tuberkuloza pluća,bez bakteriološkog i histološkog ispitivanja","Tuberculosis pulmonis, sine exploratione bacteriologica et histologica"
83,A162,"Tuberkuloza pluća, bez bakteriološke ili histološke potvrde","Tuberculosis pulmonis,sine confirmatione bacteriologica sive histologica"
84,A163,Tuberkuloza limfnih čvorova u grudnom košu,Tuberculosis lymphonodorum intrathoracalium
85,A164,"Tuberkuloza grkljana,dušnika i dušnice","Tuberculosis laryngis, tracheae et bronchi"
86,A165,Tuberkulozno zapaljenje porebrice,Pleuritis tuberculosa
87,A167,Primarna tuberkuloza pluća,Tuberculosis pulmonis primaria
88,A168,Druga tuberkuloza organa za disanje,Tuberculosis organorum respiratoriorum alia
89,A169,"Tuberkuloza organa za disanje, neoznačena","Tuberculosis organorum respiratoriorum,non specificata"
90,A17,Tuberkuloza nervnog sistema,Tuberculosis systematis nervosi
91,A170,Tuberkulozno zapaljenje moždanica,Meningitis tuberculosa (G01*)
92,A171,Tuberkulozni čvorić moždanica,Tuberculoma meningium (G07*)
93,A178,Druga tuberkuloza nervnog sistema,Tuberculosis systematis nervosi alia
94,A179,"Tuberkuloza nervnog sistema, neoznačena","Tuberculosis systematis nervosi, nonspecificata"
95,A18,Tuberkuloza drugih organa,Tuberculosis organorum aliorum
96,A180,Tuberkuloza kostiju i zglobova,Tuberculosis ossium et articulorum
97,A181,Tuberkuloza polno-mokraćnog sistema,Tuberculosis systematis genitourinarii
98,A182,Tuberkuloza perifernih limfnih čvorova,Tuberculosis lymphoglandularum peripherica
99,A183,"Tuberkuloza žlezda creva,trbušne maramice i opornjaka","Tuberculosis glandularum intestinalium,peritonaealium et mesentericarum"
100,A184,Tuberkuloza kože i potkožnog tkiva,Tuberculosis cutis et subcutis
101,A185,Tuberkuloza oka,Tuberculosis oculi
102,A186,Tuberkuloza uva,Tuberculosis auris
103,A187,Tuberkuloza nadbubrežnih žlezda,Tubercuiosis glandularum suprarenalium
104,A188,Tuberkuloza drugih označenih organa,"Tuberculosis organorum ailorum,specificatorum"
105,A19,Rasejana tuberkuloza,Tuberculosis miliaris
106,A190,"Akutna rasejana tuberkuloza, označene lokalizacije","Tuberculosis miliaris acuta, loci specificati"
107,A191,"Akutna rasejana tuberkuloza ,višestrukih lokalizacija","Tuberculosis miliaris acuta, locorum multiplicum"
108,A192,"Akutna rasejana tuberkuloza, neoznačena","Tuberculosis miliaris acuta, non specificata"
109,A198,Druga rasejana tuberkuloza,Tuberculosis miliaris alia
110,A199,"Rasejana tuberkuloza, neoznačena","Tuberculosis miliaris, non specificata"
111,A20,Kuga,Pestis
112,A200,Kuga čvorova prepona,Pestis bubonica
113,A201,Kuga kože,Pestis cellulocutanea
114,A202,Kuga pluća,Pestis pneumonica
115,A203,Zapaljenje moždanica uzrokovano kugom,Meningitis pestica
116,A207,Sepsa uzrokovana kugom,Pestis septica
117,A208,Drugi oblici kuge,"Pestis, formae aliae"
118,A209,"Kuga, neoznačena","Pestis, non specificata"
119,A21,Tularemija - Kuga glodara,Tularaemia
120,A210,Ulcerozna tularemija žlezda,Tularaemia ulceroglandularis
121,A211,Tularemija žlezda oka,Tularaemia oculoglandularis
122,A212,Tularemija pluća,Tularaemia pulmonalis
123,A213,Tularemija želuca i creva,Tularaemia gastrointestinalis
124,A217,Generalizovana tularemija,Tularaemia generalisata
125,A218,Drugi oblici tularemije,"Tularaemia, formae aliae"
126,A219,"Tularemija, neoznačena","Tularaemia, non specificata"
127,A22,Antraks - Crni prišt,Anthrax
128,A220,Antraks kože,Anthrax cutaneus
129,A221,Antraks pluća,Anthrax pulmonalis
130,A222,Antraks želuca i creva,Anthrax gastrointestinalis
131,A223,Sepsa - trovanje uzrokovano antraksom,Anthrax septicus
132,A228,Drugi oblici antraksa,"Anthrax, formae aliae"
133,A229,"Antraks, neoznačen","Anthrax, non specificatus"
134,A23,Bruceloza - Mediteranska groznica,Brucellosis
135,A230,"Bruceloza, uzročnik Brucella melitensis",Brucellosis per Brucellam melitensem
136,A231,"Bruceloza, uzročnik Brucella abortus",Brucellosis per Brucellam abortus
137,A232,"Bruceloza, uzročnik Brucella suis",Brucellosis per Brucellam suis
138,A233,"Bruceloza, uzročnik Brucella canis",Brucellosis per Brucellam canis
139,A238,Druga bruceloza,Brucellosis alia
140,A239,"Bruceloza, neoznačena","Brucellosis, non specificata"
141,A24,"Sakagija i Melioidoza ,uzročnik Pseudomonas pseudomallei",Malleus et melioidosis
142,A240,Sakagija,Malleus
143,A241,Akutna i perakutna melioidoza,Melioidosis acuta et fulminans
144,A242,Subakutna i hronična melioidoza,Melioidosis subacuta et chronica
145,A243,Druga melioidoza,Melioidosis alia
146,A244,"Melioidoza, neoznačena","Melioidosis, non specificata"
147,A25,Groznica posle ujeda miša,Febris post morsum muris
148,A250,Spiriloza uzrokovana spirilama,Spirillosis
149,A251,Streptobaciloza uzrokovana streptokokom,Streptobacillosis
150,A259,"Groznica posle ujeda miša, neoznačena","Febris post morsum muris, non specificata"
151,A26,Erizipeloid - Oboljenje slično crvenom vetru,Erysipeloides
152,A260,Erizipeloid kože,Erysipeloides cutaneus
153,A267,Erizipeloidna sepsa,Erysipeloides septicus
154,A268,Drugi oblici erizipeloida,"Erysipeloides, formae aliae"
155,A269,"Erizipeloid, neoznačen","Erysipeloides, non specificatus"
156,A27,"Leptospiroza,uzročnik Leptospira interrogans",Leptospirosis
157,A270,Leptospiroza sa žuticom i krvarenjima,Leptospirosis icterohaemorrhagica
158,A278,Drugi oblici leptospiroze,"Leptospirosis, formae aliae"
159,A279,"Leptospiroza, neoznačena","Leptospirosis, non specificata"
160,A28,Druge zoonoze,Zoonoses bacteriales aliae
161,A280,"Pastereloza, uzročnik Pasteurellae",Pasteurellosis
162,A281,Bolest posle mačije ogrebotine,Morbus post excoriationem felis
163,A282,"Jersinioza,vancrevna ,uzročnik Yersinia enterocolitica",Yersiniosis extraintestinalis
164,A288,Druge označene zoonoze,"Zoonoses bacteriales aliae, specificatae"
165,A289,"Zoonoza, neoznačena","Zoonosis bacterialis, non specificata"
166,A30,Guba - Hansenova bolest,Lepra (Morbus Hansen)
167,A300,"Guba, neodređena",Lepra indefinita
168,A301,Tuberkuloidna guba,Lepra tuberculoides
169,A302,Granična tuberkuloidna guba,Lepra tuberculoides limitans
170,A303,Granična guba,Lepra limitans (borderline)
171,A304,Granična lepromatozna guba,Lepra lepromatosa limitans (borderline)
172,A305,Lepromatozna guba,Lepra lepromatosa
173,A308,Drugi oblici gube,"Lepra, formae aliae"
174,A309,"Guba, neoznačena","Lepra, non specificata"
175,A31,Druge bolesti uzrokovane mikobakterijama,Morbi mycobacteriales alii
176,A310,Infekcija pluća uzrokovana mikobakterijama,Infectio pulmonalis per mycobacterium
177,A311,Infekcija kože uzrokovana mikobakterijama,Infectio cutanea mycobacterialis
178,A318,Druge infekcije uzrokovane mikobakterijama,Infectiones mycobacteriales aliae
179,A319,"Infekcija uzrokovana mikobakterijama ,neoznačena","Infectio mycobacterialis,non specificata"
180,A32,"Listerioza,uzročnik Listeria monocytogenes",Listeriosis
181,A320,Listerioza kože,Listeriosis cutanea
182,A321,Zapaljenje moždanica i moždanica sa mozgom uzrokovano listeriozom,Meningitis et meningoencephalitis listerialis
183,A327,Listeriozna sepsa,Listeriosis septica
184,A328,Drugi oblici listerioze,"Listeriosis, formae aliae"
185,A329,"Listerioza, neoznačena","Listeriosis,non specificata"
186,A33,Tetanus novorođenčeta,Tetanus neonati
187,A34,Porođajni tetanus,Tetanus puerperalis
188,A35,Drugi tetanus,Tetanus alius
189,A36,"Difterija, - Gušobolja (teška)",Diphtheria
190,A360,Difterija ždrela,Diphtheria pharyngica
191,A361,Difterija nosa i ždrela,Diphtheria nasopharyngica
192,A362,Difterija grkljana,Diphtheria laryngica
193,A363,Difterija kože,Diphtheria cutanea
194,A368,Druga difterija,Diphtheria alia
195,A369,"Difterija, neoznačena","Diphtheria, non specificata"
196,A37,Veliki kašalj,Pertussis
197,A370,"Veliki kašalj , uzročnik Bordetella pertussis",Pertussis
198,A371,"Kašalj, uzročnik Bordetella parapertussis",Parapertussis per Bordetellam parapertussis
199,A378,"Kašalj,uzročnik Bordetella druge vrste",Parapertussis per Bordetellam speciei alterius
200,A379,"Veliki kašalj, neoznačen","Pertussis, non specificata"
201,A38,Šarlah,Scarlatina
202,A39,Infekcija uzrokovana meningokokom,Infectio meningococcica
203,A390,Zapaljenje moždanica uzrokovano meningokokom,Meningitis meningococcica (G01*)
204,A391,Sindrom Waterhouse - Friderichsen,Syndroma Waterhouse - Friderichsen (E35.1*)
205,A392,Akutna sepsa - trovanje uzrokovano meningokokom,Sepsis meningococcica acuta
206,A393,Hronična sepsa-trovanje uzrokovano meningokokom,Meningococcaemia chronica
207,A394,"Sepsa-trovanje uzrokovano meningokokom, neoznačena","Meningococcaemia, non specificata"
208,A395,Bolest srca uzrokovana meningokokom,Morbus cordis meningococcica
209,A398,Druge infekcije uzrokovane meningokokom,Infectiones meningococcicae aliae
210,A399,"Infekcija uzrokovana meningokokom,neoznačena","Infectio meningococcica, non specificata"
211,A40,Sepsa - trovanje uzrokovano streptokokom,Septicaemia streptococcica
212,A400,Sepsa uzrokovana streptokokom grupe A,Septicaemia streptococcica A
213,A401,Sepsa uzrokovana streptokokom grupe B,Septicaemia streptococcica B
214,A402,Sepsa uzrokovana streptokokom grupe D,Septicaemia streptococcica D
215,A403,Sepsa uzrokovana pneumokokom,Septicaemia pneumococcica
216,A408,Druge sepse uzrokovane streptokokom,Septicaemiae streptococcicae aliae
217,A409,"Sepsa uzrokovana streptokokom, neoznačena","Septicaemia streptococcica, non specificata"
218,A41,Druge sepse - trovanja,Septicaemia alia
219,A410,"Sepsa, uzročnik Staphylococcus aureus",Septicaemia staphylococcica
220,A411,Sepsa koju uzrokuje drugi označeni stafilokok,"Septicaemia staphylococcica alia,specificata"
221,A412,Neoznačena sepsa uzrokovana stafilokokom,"Septicaemia staphylococcica, non specificata"
222,A413,"Sepsa,uzročnik Haemophilus influenzee",Septicaemia per Haemophilum influenzae
223,A414,Sepsa uzrokovana anaerobnim bacilima,Septicaemia anaerobica
224,A415,Sepsa uzrokovana drugim Gram-negativnim organizmima,Septicaemia organismica per organismos Gramos-negativos alios
225,A418,Druga označena sepsa,"Septicaemia alia, specificata"
226,A419,"Sepsa, neoznačena","Septicaemia, non specificata"
227,A42,"Aktinomikoza, uzročnik Actinomyces",Actinomycosis
228,A420,Aktinomikoza pluća,Actinomycosis pulmonalis
229,A421,Aktinomikoza trbuha,Actinomycosis abdominalis
230,A422,Aktinomikoza vrata i lica,Actinomycosis cervicofacialis
231,A427,Sepsa - trovanje uzrokovano aktinomicesom,Septicaemia actinomycotica
232,A428,Drugi oblici aktinomikoze,"Actinomycosis, formae aliae"
233,A429,"Aktinomikoza, neoznačena","Actinomycosis, non specificata"
234,A43,"Nokardioza, uzročnik Nocardia",Nocardiosis
235,A431,Nokardioza pluća,Nocardiosis pulmonalis
236,A432,Nokardioza kože,Nocardiosis cutanea
237,A438,Drugi oblici nokardioze,"Nocardiosis, formae aliae"
238,A439,"Nokardioza, neoznačena","Nocardiosis, non specificata"
239,A44,"Bartoneloza, uzročnik Bartonella",Bartonellosis
240,A440,Sistemska bartoneloza,Bartonellosis systematica
241,A441,Bartoneloza kože i sluznice,Bartonellosis cutanea et mucocutanea
242,A448,Drugi oblici bartoneloze,"Bartonellosis, formae aliae"
243,A449,"Bartoneloza, neoznačena","Bartonellosis, non specificata"
244,A46,Crveni vetar,Erysipelas
245,A48,Druge bakterijske bolesti,Morbi bacteriales alii
246,A480,Gasnagangrena (truležno izumiranje tkiva),Gas gangraena
247,A481,"Legioneloza, bolest legionara",Legionellosis
248,A482,Legioneloza lokalizovana izvan pluća,Legionellosis extrapulmonalis
249,A483,Toksički šok,Afflictus (shock) toxicus
250,A484,Brazilska osipna groznica,Febris brasiliana purpurica
251,A488,Druge označene bakterijske bolesti,"Morbi bacteriales alii, specificati"
252,A49,Bakterijska infekcija neoznačene lokalizacije,"Infectio bacterialis, loci non specificati"
253,A490,Infekcija uzrokovana stafilokokom,Infectio staphylococcica
254,A491,Infekcija uzrokovana streptokokom,Infectio streptococcica
255,A492,"Infecija, uzročnik Haemophilus influenzae",Infectio per Haemophilum influenzae
256,A493,Infekcija uzrokovana mikoplazmom,Infectio mycoplasmatica
257,A498,Druge infecije uzrokovane bakterijama,Infectiones bacteriales aliae
258,A499,"Infekcija uzrokovana bakterijama, neoznačena","Infectio bacterialis, non specificata"
259,A50,Urođeni sifilis,Syphilis congenita
260,A500,Rani urođeni simptomatski sifilis,Syphilis symptomatica praecox congenita
261,A501,Rani urođeni latentni sifilis,Syphilis praecox latensi congenita
262,A502,"Rani urođeni sifilis, neoznačen","Syphilis praecox congenita, non specificata"
263,A503,Pozno sifilisno urođeno oboljenje oka,Oculopathia syphilitica tarda congenita
264,A504,Mladalački neurosifilis,Neurosyphilis juvenilis tarda congenita
265,A505,Drugi pozni urođeni simptomatski sifilis,Syphilis symptomatica tarda congenita alia
266,A506,Pozni urođeni latentni sifilis,"Syphilis tarda latens, congenita"
267,A507,"Pozni urođeni sifilis, neoznačen","Syphilis tarda congenita, non specificata"
268,A509,"Urođeni sifilis, neoznačen","Syphilis congenita, non specificata"
269,A51,Sveži sifilis,Syphilis recens
270,A510,Primarni sifilis polnih organa,Syphilis genitalis primaria
271,A511,Primarni sifilis čmara,Syphilis analis primaria
272,A512,Primarni sifilis drugih lokalizacija,"Syphilis primaria, locorum allorum"
273,A513,Sekundarni sifilis kože i sluznice,Syphilis cutis et mucosae secundaria
274,A514,Drugi sekundarni sifilis,Syphilis secundaria alia
275,A515,Sveži latentni sifilis,Syphilis recens latens
276,A519,"Sveži sifilis, neoznačen","Syphilis recens, non specificata"
277,A52,Pozni sifilis,Syphilis tarda
278,A520,Sifilis srca i krvnih sudova,Syphilis cardiovascularis
279,A521,Simptomatski sifilis nervnog sistema,Neurosyphilis symptomatica
280,A522,Asimptomatski sifilis nervnog sistema,Neurosyphilis asymptomatica
281,A523,"Sifilis nervnog sistema, neoznačen","Neurosyphilis, non specificata"
282,A527,Drugi pozni simptomatski sifilis,Syphilis symptomatica tarda alia
283,A528,Pozni latentni sifilis,Syphilis tarda latens
284,A529,"Pozni sifilis, neoznačen","Syphilis tarda, non specificata"
285,A53,Drugi neoznačeni sifilis,Syphilis alia et non specificata
286,A530,"Latentni sifilis, neoznačen kao rani ili pozni","Sifilis latens, ut recens sive tarda,non specificata"
287,A539,"Sifilis, neoznačen","Syphilis, non specificata"
288,A54,Infekcija gonokokom,Infectio gonococcica
289,A540,Infekcija gonokokom donjeg dela polno-mokraćnih puteva bez zagnoja oko mokraćne,Infectio tractus genitourinarii inferioris gonococcica cum abscesu periurethrali
290,A541,Infekcija gonokokom donjeg dela polno-mokraćnih puteva sa zagnojem oko mokraćne,Infectio tractus genitourinarii inferioris gonococc.cum abscessu periurethrali e
291,A542,Zapaljenja karlične potrbušnice i ostale infekcije polno-mokraćnih puteva uzroko,Pelviperitonitis et infectiones genitourinarie gonococcicae aliae
292,A543,Infekcija oka gonokokom,Infectio oculi gonococcica
293,A544,Infekcija mišićno-skeletnog sistema gonokokom,Infectio systematis musculosceletalis gonococcica
294,A545,Zapaljenje ždrela uzrokovano gonokokom,Pharyngitis gonococcica
295,A546,Infekcija čmara i završnog creva gonokokom,Infectio ani et recti gonococcica
296,A548,Druge infekcije gonokokom,Infectio gonococcica alia
297,A549,"Infekcija gonokokom, neoznačena","Infectio gonococcica, non specificata"
298,A55,"Venerički limfogranulom, uzročnik Chlamydia",Lymphogranuloma per infectionem Chlamydia (venericam)
299,A56,Polne infekcije uzrokovane hlamidijom prenete na drugi način,Infectiones sexuales chlamydiales modo alio transmissae
300,A560,Infekcija donjeg dela polno-mokraćnih puteva uzrokovana hlamidijom,"Infectio tractus genitourinarii inferioris, chlamydialis"
301,A561,Infekcija karlične potrbušnice i drugih polno-mokraćnih organa uzrokovana hlamid,Infectio pelviopernitonaei et organorum genitourinariorum aliorum chlamydialis
302,A562,"Polno-mokraćna infekcija uzrokovana hlamidijom, neoznačena","Infectio tractus genitourinarii, chlamydialis, non specificata"
303,A563,Infekcija čmara i završnog creva uzrokovana hlamidijom,Infectio ani et recti chlamydialis
304,A564,Infekcija ždrela uzrokovana hlamidijom,"Infectio pharyngis,chlamydialis"
305,A568,"Infekcija preneta polnim odnosom, drugih lokalizacija uzrokovana hlamidijom","Infectio chlamydialis, modo sexuali transmissa, locorum aliorum"
306,A57,Meki šankr,Ulcus mole
307,A58,Zrnasti tumor prepone,Granuloma inguinale
308,A59,"Trihomonijaza, uzročnik Trichomonas vaginalis",Trichomoniasis
309,A590,Trihomonijaza polno-mokraćnog pribora,Trichomoniasis urogenitalis
310,A598,Trihomonijaza drugih lokalizacija,Trichomoniasis locorum aliorum
311,A599,"Trihomonijaza, neoznačena","Trichomoniasis, non specificata"
312,A60,Čmarno-polna infekcija uzrokovana virusom herpesa,Infectio herpetica viralis regionis anogenitalis
313,A600,Infekcija polnih organa i mokraćno-polnog pribora uzrokovana virusom herpesa,"Infectio genitaliorum et tractus urogenitalis, herpesviralis"
314,A601,Infekcija kože okoline čmara i završnog creva uzrokovana virusom herpesa,"Infectio cutis perianalis et recti, herpesviralis"
315,A609,"Čmarno-polna infekcija uzrokovana virusom herpesa, neoznačena","Infectio anogenitalis herpesviralis, non specificata"
316,A63,Druge bolesti prenete pretežno polnim odnosom,Morbi praedominanter modo sexuali transmissi alii
317,A630,Čmarno-polne bradavice,Verrucae anogenitales
318,A638,Druge označene bolesti prenete pretežno polnim odnosom,"Morbi praedominanter modo sexuali trensmissi alii, specificati"
319,A64,Neoznačena bolest preneta polnim odnosom,"Morbus modo sexuali transmissus, non specificatus"
320,A65,Sifilis van polnih organa,Syphilis non venerica
321,A66,"Frambezijaze, uzročnik Treponaema pertenuis",Framboesia
322,A660,Početne lezije uzrokovane frambezijom,Laesiones framboesiales initiales
323,A661,Mnogobrojne kvržice i vlažne grizlice uzrokovane frambezijom,Papillomata multiplicia et ulcera humida framboesialia
324,A662,Druga sveža oštećenja kože uzrokovana frambezijom,Laesiones cutis framboesiales initiales sive praecoces aliae
325,A663,Zadebljanja rožastog sloja kože uzrokovana frambezijom,Hyperkeratosis framboesialis
326,A664,Gume i grizlice uzrokovane frambezijom,Gummata et ulcera framboesialia
327,A665,Nosno-ždrelna unakaženost uzrokovana frambezijom,Gangosa
328,A666,Lezije kostiju i zglobova uzrokovane frambezijom,Laesiones ossium et articulorum framboesiales
329,A667,Druge manifestacije uzrokovane frambezijom,Manifectationes framboesiales aliae
330,A668,Latentna frambezija,Framboesia latens
331,A669,"Frambezija, neoznačena","Framboesia, non specificata"
332,A67,Pinta - ljuskasto-pegasto oboljenje kože,"Pinta-""mal del pinto"""
333,A670,Primarne lezije pinte,"Laesiones ""pinta"" primariae"
334,A671,Periodične lezije pinte,"Laesiones ""pinta"" intermediae"
335,A672,"Pozne lezije ""pinte""","Laesiones ""pinta"" tardae"
336,A673,Mešovite lezije pinte,"Laesiones ""pinta"" mixtae"
337,A679,"Pinta, neoznačena","Pinta, non specificata"
338,A68,Povratna groznica,Febris recurrens
339,A680,Povratna groznica uzrokovana vašima,Febris recurrens pedicularis
340,A681,Povratna groznica uzrokovana krpeljima,Febris recurrens ixodibus transmissa
341,A689,"Povratna groznica, neoznačena","Febris recurrens, non specificata"
342,A69,Druge infekcije spirohetama,Infectiones spirochaetales aliae
343,A690,Ulcerozno-nekrotičko zapaljenje sluznice usta,Stomatitis ulcerosa necroticans
344,A691,Druge infekcije izazvane spirohetom Vincent,Infectiones Vincent aliae
345,A692,Lajmska bolest,Morbus Lyme
346,A698,Druge označene infekcije uzrokove spirohetama,"Infectiones spirochaetales aliae, specificatae"
347,A699,"Infekcija uzrokovana spirohetom, neoznačena","Infectio spirochaetalis, non specificata"
348,A70,"Hlamidijaza, uzročnik Chlamydia psittaci",Infectio per Chlamydiam
349,A71,Trahom - Misirska okobolja,Trachoma
350,A710,Početni trahom,Trachoma incipiens
351,A711,Aktivni trahom,Trachoma floridum
352,A719,"Trahom, neoznačen","Trachoma, non specificatum"
